UPOVGroup,RHS,english,français,deutsch,español
23,25A,medium orange,orange moyen,mittelorange,naranja medio
23,25B,medium orange,orange moyen,mittelorange,naranja medio
22,25C,light orange,orange clair,hellorange,naranja claro
22,25D,light orange,orange clair,hellorange,naranja claro
23,26A,medium orange,orange moyen,mittelorange,naranja medio
23,26B,medium orange,orange moyen,mittelorange,naranja medio
22,26C,light orange,orange clair,hellorange,naranja claro
22,26D,light orange,orange clair,hellorange,naranja claro
25,27A,light orange pink,rose orangé clair,hellorangesosa,rosa anaranjado claro
25,27B,light orange pink,rose orangé clair,hellorangesosa,rosa anaranjado claro
25,27C,light orange pink,rose orangé clair,hellorangesosa,rosa anaranjado claro
25,27D,light orange pink,rose orangé clair,hellorangesosa,rosa anaranjado claro
24,28A,dark orange,orange foncé,dunkelorange,naranja oscuro
24,28B,dark orange,orange foncé,dunkelorange,naranja oscuro
22,28C,light orange,orange clair,hellorange,naranja claro
22,28D,light orange,orange clair,hellorange,naranja claro
23,29A,medium orange,orange moyen,mittelorange,naranja medio
22,29B,light orange,orange clair,hellorange,naranja claro
25,29C,light orange pink,rose orangé clair,hellorangesosa,rosa anaranjado claro
25,29D,light orange pink,rose orangé clair,hellorangesosa,rosa anaranjado claro
33,30A,orange red,rouge orangé,orangerot,rojo anaranjado
33,30B,orange red,rouge orangé,orangerot,rojo anaranjado
24,30C,dark orange,orange foncé,dunkelorange,naranja oscuro
23,30D,medium orange,orange moyen,mittelorange,naranja medio
33,31A,orange red,rouge orangé,orangerot,rojo anaranjado
24,31B,dark orange,orange foncé,dunkelorange,naranja oscuro
26,31C,medium orange pink,rose orangé moyen,mittelorangerosa,rosa anaranjado medio
26,31D,medium orange pink,rose orangé moyen,mittelorangerosa,rosa anaranjado medio
33,32A,orange red,rouge orangé,orangerot,rojo anaranjado
33,32B,orange red,rouge orangé,orangerot,rojo anaranjado
23,32C,medium orange,orange moyen,mittelorange,naranja medio
26,32D,medium orange pink,rose orangé moyen,mittelorangerosa,rosa anaranjado medio
34,33A,light red,rouge clair,hellrot,rojo claro
33,33B,orange red,rouge orangé,orangerot,rojo anaranjado
23,33C,medium orange,orange moyen,mittelorange,naranja medio
26,33D,medium orange pink,rose orangé moyen,mittelorangerosa,rosa anaranjado medio
35,34A,medium red,rouge moyen,mittelrot,rojo medio
33,34B,orange red,rouge orangé,orangerot,rojo anaranjado
33,34C,orange red,rouge orangé,orangerot,rojo anaranjado
64,34D,orange brown,brun orangé,orangebraun,marrón anaranjado
33,35A,orange red,rouge orangé,orangerot,rojo anaranjado
33,35B,orange red,rouge orangé,orangerot,rojo anaranjado
26,35C,medium orange pink,rose orangé moyen,mittelorangerosa,rosa anaranjado medio
27,35D,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
27,36A,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
27,36B,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
27,36C,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
27,36D,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
26,37A,medium orange pink,rose orangé moyen,mittelorangerosa,rosa anaranjado medio
29,37B,pink,rose,rosa,rosa
29,37C,pink,rose,rosa,rosa
27,37D,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
29,38A,pink,rose,rosa,rosa
27,38B,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
27,38C,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
27,38D,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
28,39A,red pink,rose-rouge,rotrosa,rosa rojizo
29,39B,pink,rose,rosa,rosa
27,39C,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
27,39D,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
34,40A,light red,rouge clair,hellrot,rojo claro
34,40B,light red,rouge clair,hellrot,rojo claro
33,40C,orange red,rouge orangé,orangerot,rojo anaranjado
33,40D,orange red,rouge orangé,orangerot,rojo anaranjado
34,41A,light red,rouge clair,hellrot,rojo claro
33,41B,orange red,rouge orangé,orangerot,rojo anaranjado
33,41C,orange red,rouge orangé,orangerot,rojo anaranjado
29,41D,pink,rose,rosa,rosa
36,42A,dark red,rouge foncé,dunkelrot,rojo oscuro
35,42B,medium red,rouge moyen,mittelrot,rojo medio
35,42C,medium red,rouge moyen,mittelrot,rojo medio
33,42D,orange red,rouge orangé,orangerot,rojo anaranjado
35,43A,medium red,rouge moyen,mittelrot,rojo medio
34,43B,light red,rouge clair,hellrot,rojo claro
28,43C,red pink,rose-rouge,rotrosa,rosa rojizo
29,43D,pink,rose,rosa,rosa
35,44A,medium red,rouge moyen,mittelrot,rojo medio
35,44B,medium red,rouge moyen,mittelrot,rojo medio
34,44C,light red,rouge clair,hellrot,rojo claro
29,44D,pink,rose,rosa,rosa
36,45A,dark red,rouge foncé,dunkelrot,rojo oscuro
36,45B,dark red,rouge foncé,dunkelrot,rojo oscuro
35,45C,medium red,rouge moyen,mittelrot,rojo medio
28,45D,red pink,rose-rouge,rotrosa,rosa rojizo
38,46A,dark purple red,rouge-pourpre foncé,dunkelpurpurrot,rojo púrpura oscuro
36,46B,dark red,rouge foncé,dunkelrot,rojo oscuro
35,46C,medium red,rouge moyen,mittelrot,rojo medio
28,46D,red pink,rose-rouge,rotrosa,rosa rojizo
36,47A,dark red,rouge foncé,dunkelrot,rojo oscuro
35,47B,medium red,rouge moyen,mittelrot,rojo medio
28,47C,red pink,rose-rouge,rotrosa,rosa rojizo
28,47D,red pink,rose-rouge,rotrosa,rosa rojizo
28,48A,red pink,rose-rouge,rotrosa,rosa rojizo
28,48B,red pink,rose-rouge,rotrosa,rosa rojizo
29,48C,pink,rose,rosa,rosa
29,48D,pink,rose,rosa,rosa
29,49A,pink,rose,rosa,rosa
27,49B,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
27,49C,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
27,49D,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
35,50A,medium red,rouge moyen,mittelrot,rojo medio
28,50B,red pink,rose-rouge,rotrosa,rosa rojizo
29,50C,pink,rose,rosa,rosa
27,50D,light red pink,rose-rouge clair,hellrotrosa,rosa rojizo claro
28,51A,red pink,rose-rouge,rotrosa,rosa rojizo
28,51B,red pink,rose-rouge,rotrosa,rosa rojizo
28,51C,red pink,rose-rouge,rotrosa,rosa rojizo
29,51D,pink,rose,rosa,rosa
28,52A,red pink,rose-rouge,rotrosa,rosa rojizo
28,52B,red pink,rose-rouge,rotrosa,rosa rojizo
29,52C,pink,rose,rosa,rosa
29,52D,pink,rose,rosa,rosa
38,53A,dark purple red,rouge-pourpre foncé,dunkelpurpurrot,rojo púrpura oscuro
36,53B,dark red,rouge foncé,dunkelrot,rojo oscuro
28,53C,red pink,rose-rouge,rotrosa,rosa rojizo
28,53D,red pink,rose-rouge,rotrosa,rosa rojizo
37,54A,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
37,54B,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
31,54C,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
30,54D,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
37,55A,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
31,55B,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
30,55C,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
30,55D,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
30,56A,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
30,56B,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
30,56C,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
30,56D,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
43,58A,dark purple,pourpre foncé,dunkelpurpurn,púrpura oscuro
37,58B,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
37,58C,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
31,58D,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
38,59A,dark purple red,rouge-pourpre foncé,dunkelpurpurrot,rojo púrpura oscuro
38,59B,dark purple red,rouge-pourpre foncé,dunkelpurpurrot,rojo púrpura oscuro
43,59C,dark purple,pourpre foncé,dunkelpurpurn,púrpura oscuro
37,59D,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
38,60A,dark purple red,rouge-pourpre foncé,dunkelpurpurrot,rojo púrpura oscuro
38,60B,dark purple red,rouge-pourpre foncé,dunkelpurpurrot,rojo púrpura oscuro
43,60C,dark purple,pourpre foncé,dunkelpurpurn,púrpura oscuro
37,60D,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
43,61A,dark purple,pourpre foncé,dunkelpurpurn,púrpura oscuro
42,61B,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
37,61C,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
31,61D,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
31,62A,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
31,62B,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
30,62C,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
30,62D,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
37,63A,medium purple red,rouge-pourpre moyen,mittelpurpurrot,rojo púrpura medio
32,63B,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
31,63C,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
30,63D,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
43,64A,dark purple,pourpre foncé,dunkelpurpurn,púrpura oscuro
42,64B,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
32,64C,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
31,64D,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
31,65A,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
30,65B,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
30,65C,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
30,65D,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
42,67A,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
32,67B,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
32,67C,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
31,67D,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
32,68A,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
31,68B,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
31,68C,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
30,68D,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
30,69A,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
30,69B,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
30,69C,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
30,69D,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
43,70A,dark purple,pourpre foncé,dunkelpurpurn,púrpura oscuro
42,70B,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
32,70C,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
31,70D,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
43,71A,dark purple,pourpre foncé,dunkelpurpurn,púrpura oscuro
42,71B,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
42,71C,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
42,71D,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
43,72A,dark purple,pourpre foncé,dunkelpurpurn,púrpura oscuro
45,72B,medium violet,violet moyen,mittelviolett,violeta medio
32,72C,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
32,72D,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
32,73A,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
31,73B,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
31,73C,medium blue pink,rose-bleu moyen,mittelblaurosa,rosa azulado medio
30,73D,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
44,75A,light violet,violet clair,hellviolett,violeta claro
44,75B,light violet,violet clair,hellviolett,violeta claro
44,75C,light violet,violet clair,hellviolett,violeta claro
30,75D,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
44,76A,light violet,violet clair,hellviolett,violeta claro
44,76B,light violet,violet clair,hellviolett,violeta claro
44,76C,light violet,violet clair,hellviolett,violeta claro
30,76D,light blue pink,rose-bleu clair,hellblaurosa,rosa azulado claro
46,77A,dark violet,violet foncé,dunkelviolett,violeta oscuro
45,77B,medium violet,violet moyen,mittelviolett,violeta medio
44,77C,light violet,violet clair,hellviolett,violeta claro
44,77D,light violet,violet clair,hellviolett,violeta claro
46,79A,dark violet,violet foncé,dunkelviolett,violeta oscuro
46,79B,dark violet,violet foncé,dunkelviolett,violeta oscuro
46,79C,dark violet,violet foncé,dunkelviolett,violeta oscuro
46,79D,dark violet,violet foncé,dunkelviolett,violeta oscuro
46,83A,dark violet,violet foncé,dunkelviolett,violeta oscuro
46,83B,dark violet,violet foncé,dunkelviolett,violeta oscuro
49,83C,dark blue violet,violet-bleu foncé,dunkelblauviolett,violeta azulado oscuro
48,83D,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
45,84A,medium violet,violet moyen,mittelviolett,violeta medio
44,84B,light violet,violet clair,hellviolett,violeta claro
44,84C,light violet,violet clair,hellviolett,violeta claro
44,84D,light violet,violet clair,hellviolett,violeta claro
48,85A,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
47,85B,light blue violet,violet-bleu clair,hellblauviolett,violeta azulado claro
47,85C,light blue violet,violet-bleu clair,hellblauviolett,violeta azulado claro
47,85D,light blue violet,violet-bleu clair,hellblauviolett,violeta azulado claro
46,86A,dark violet,violet foncé,dunkelviolett,violeta oscuro
49,86B,dark blue violet,violet-bleu foncé,dunkelblauviolett,violeta azulado oscuro
48,86C,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
48,86D,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
49,90A,dark blue violet,violet-bleu foncé,dunkelblauviolett,violeta azulado oscuro
49,90B,dark blue violet,violet-bleu foncé,dunkelblauviolett,violeta azulado oscuro
48,90C,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
48,90D,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
50,91A,light violet blue,bleu-violet clair,hellviolettblau,azul violáceo claro
50,91B,light violet blue,bleu-violet clair,hellviolettblau,azul violáceo claro
47,91C,light blue violet,violet-bleu clair,hellblauviolett,violeta azulado claro
47,91D,light blue violet,violet-bleu clair,hellblauviolett,violeta azulado claro
51,92A,medium violet blue,bleu-violet moyen,mittelviolettblau,azul violáceo medio
50,92B,light violet blue,bleu-violet clair,hellviolettblau,azul violáceo claro
50,92C,light violet blue,bleu-violet clair,hellviolettblau,azul violáceo claro
47,92D,light blue violet,violet-bleu clair,hellblauviolett,violeta azulado claro
52,93A,dark violet blue,bleu-violet foncé,dunkelviolettblau,azul violáceo oscuro
49,93B,dark blue violet,violet-bleu foncé,dunkelblauviolett,violeta azulado oscuro
49,93C,dark blue violet,violet-bleu foncé,dunkelblauviolett,violeta azulado oscuro
50,93D,light violet blue,bleu-violet clair,hellviolettblau,azul violáceo claro
52,94A,dark violet blue,bleu-violet foncé,dunkelviolettblau,azul violáceo oscuro
51,94B,medium violet blue,bleu-violet moyen,mittelviolettblau,azul violáceo medio
51,94C,medium violet blue,bleu-violet moyen,mittelviolettblau,azul violáceo medio
50,94D,light violet blue,bleu-violet clair,hellviolettblau,azul violáceo claro
52,95A,dark violet blue,bleu-violet foncé,dunkelviolettblau,azul violáceo oscuro
52,95B,dark violet blue,bleu-violet foncé,dunkelviolettblau,azul violáceo oscuro
51,95C,medium violet blue,bleu-violet moyen,mittelviolettblau,azul violáceo medio
53,95D,light blue,bleu clair,hellblau,azul claro
52,96A,dark violet blue,bleu-violet foncé,dunkelviolettblau,azul violáceo oscuro
51,96B,medium violet blue,bleu-violet moyen,mittelviolettblau,azul violáceo medio
51,96C,medium violet blue,bleu-violet moyen,mittelviolettblau,azul violáceo medio
51,96D,medium violet blue,bleu-violet moyen,mittelviolettblau,azul violáceo medio
51,97A,medium violet blue,bleu-violet moyen,mittelviolettblau,azul violáceo medio
50,97B,light violet blue,bleu-violet clair,hellviolettblau,azul violáceo claro
50,97C,light violet blue,bleu-violet clair,hellviolettblau,azul violáceo claro
50,97D,light violet blue,bleu-violet clair,hellviolettblau,azul violáceo claro
54,98A,medium blue,bleu moyen,mittelblau,azul medio
54,98B,medium blue,bleu moyen,mittelblau,azul medio
54,98C,medium blue,bleu moyen,mittelblau,azul medio
54,98D,medium blue,bleu moyen,mittelblau,azul medio
55,99A,dark blue,bleu foncé,dunkelblau,azul oscuro
55,99B,dark blue,bleu foncé,dunkelblau,azul oscuro
54,99C,medium blue,bleu moyen,mittelblau,azul medio
54,99D,medium blue,bleu moyen,mittelblau,azul medio
54,100A,medium blue,bleu moyen,mittelblau,azul medio
54,100B,medium blue,bleu moyen,mittelblau,azul medio
54,100C,medium blue,bleu moyen,mittelblau,azul medio
53,100D,light blue,bleu clair,hellblau,azul claro
54,101A,medium blue,bleu moyen,mittelblau,azul medio
54,101B,medium blue,bleu moyen,mittelblau,azul medio
54,101C,medium blue,bleu moyen,mittelblau,azul medio
53,101D,light blue,bleu clair,hellblau,azul claro
55,102A,dark blue,bleu foncé,dunkelblau,azul oscuro
55,102B,dark blue,bleu foncé,dunkelblau,azul oscuro
54,102C,medium blue,bleu moyen,mittelblau,azul medio
54,102D,medium blue,bleu moyen,mittelblau,azul medio
55,103A,dark blue,bleu foncé,dunkelblau,azul oscuro
55,103B,dark blue,bleu foncé,dunkelblau,azul oscuro
55,103C,dark blue,bleu foncé,dunkelblau,azul oscuro
54,103D,medium blue,bleu moyen,mittelblau,azul medio
54,104A,medium blue,bleu moyen,mittelblau,azul medio
54,104B,medium blue,bleu moyen,mittelblau,azul medio
54,104C,medium blue,bleu moyen,mittelblau,azul medio
53,104D,light blue,bleu clair,hellblau,azul claro
55,105A,dark blue,bleu foncé,dunkelblau,azul oscuro
54,105B,medium blue,bleu moyen,mittelblau,azul medio
54,105C,medium blue,bleu moyen,mittelblau,azul medio
54,105D,medium blue,bleu moyen,mittelblau,azul medio
54,106A,medium blue,bleu moyen,mittelblau,azul medio
53,106B,light blue,bleu clair,hellblau,azul claro
53,106C,light blue,bleu clair,hellblau,azul claro
56,106D,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
54,107A,medium blue,bleu moyen,mittelblau,azul medio
54,107B,medium blue,bleu moyen,mittelblau,azul medio
53,107C,light blue,bleu clair,hellblau,azul claro
53,107D,light blue,bleu clair,hellblau,azul claro
56,108A,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
56,108B,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
56,108C,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
56,108D,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
54,110A,medium blue,bleu moyen,mittelblau,azul medio
54,110B,medium blue,bleu moyen,mittelblau,azul medio
57,110C,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,110D,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,111A,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,111B,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,111C,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,111D,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
56,112A,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
56,112B,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
56,112C,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
56,112D,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
58,113A,dark green blue,bleu-vert foncé,dunkelgrünblau,azul verdoso oscuro
57,113B,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
57,113C,medium green blue,bleu-vert moyen,mittelgrünblau,azul verdoso medio
56,113D,light green blue,bleu-vert clair,hellgrünblau,azul verdoso claro
58,114A,dark green blue,bleu-vert foncé,dunkelgrünblau,azul verdoso oscuro
58,114B,dark green blue,bleu-vert foncé,dunkelgrünblau,azul verdoso oscuro
58,114C,dark green blue,bleu-vert foncé,dunkelgrünblau,azul verdoso oscuro
